"Producto,""Creado el"",""Valor unitario"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:34:53"",""0.0"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:41:18"",""0.0"""
"Prueba,""2025-10-30 12:39:34"",""0.0"""
"[100425] CARTERA ACONCAGUA (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100424] CARTERA ACONCAGUA (BRIDGE, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100497] CARTERA CHALTEN (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100494] CARTERA CHALTEN (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100498] CARTERA CHALTEN (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100492] CARTERA CHALTEN (BRIDGE, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100493] CARTERA CHALTEN (BRIDGE, CAMEL),""2025-12-08 19:52:14"",""0.0"""
"[101164] MORRAL ANGOSTO (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101305] PORTAFOLIO OLDIE (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101308] PORTAFOLIO OLDIE (TAMPONATO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100801] CINTURON TRENZADO (100),""2025-12-08 19:52:14"",""0.0"""
"[101186] MORRAL OLDIE (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101189] MORRAL OLDIE (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101562] RIÑONERA CRUZ S (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101564] RIÑONERA CRUZ S (BRIDGE, LONDON),""2025-12-08 19:52:14"",""0.0"""
"[101566] RIÑONERA CRUZ S (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101567] RIÑONERA CRUZ S (BRIDGE, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101355] PORTALAPTOP LES (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100650] CINTURON ALFO (115),""2025-12-08 19:52:14"",""0.0"""
"[101102] MOCHILA PORTIA (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100453] CARTERA AMARILLA SET SOBRE (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100724] CINTURON MIA (L, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100726] CINTURON MIA (L, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100725] CINTURON MIA (M, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100727] CINTURON MIA (L, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100731] CINTURON MIA (L, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100730] CINTURON MIA (M, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100729] CINTURON MIA (S, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100733] CINTURON MIA (L, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100737] CINTURON MIA (L, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100736] CINTURON MIA (M, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100735] CINTURON MIA (S, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[101469] PORTAPASAPORTE RON (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100194] BILLETERA LUCA (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101143] MONEDERO GRACE (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101144] MONEDERO GRACE (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100018] BANDOLERA ANTONIETA (NAPADO, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100014] BANDOLERA ANTONIETA (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100123] BANDOLERA VICENTA (NAPADO, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100120] BANDOLERA VICENTA (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100124] BANDOLERA VICENTA (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100011] BANDOLERA ANTONIETA (GAMUZA, CAFE),""2025-12-08 19:52:14"",""0.0"""
"[100448] CARTERA AMARILLA SET SOBRE (GAMUZA, AVELLANA/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100475] CARTERA APHOLO SET SOBRE (NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100157] BILLETERA COPAHUE (NAPADO, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100159] BILLETERA COPAHUE (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100155] BILLETERA COPAHUE (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101444] PORTAPASAPORTE CHESTER (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100220] BILLETERA OSADIA (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101108] MOCHILA PORTIA FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101216] NECESSAIRE LANIN FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101234] NECESSAIRE MINI MARCOS FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101258] PHONEBAG TAURUS FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101577] RIÑONERA EVAN FULL BLACK GRANDE,""2025-12-08 19:52:14"",""0.0"""
"[101730] TARJETERO HARRY (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100121] BANDOLERA VICENTA (NAPADO, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100505] CARTERA DOS HEBILLAS NEW (GAMUZA, AVELLANA/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100507] CARTERA DOS HEBILLAS NEW (GAMUZA, CAFE),""2025-12-08 19:52:14"",""0.0"""
"[100696] CINTURON GUS (110, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100697] CINTURON GUS (115, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100698] CINTURON GUS (120, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100693] CINTURON GUS (85, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100694] CINTURON GUS (90, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100261] BOLSO TUBO GRANDE (GAMUZA, CAFE/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101088] MOCHILA PACARI (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101085] MOCHILA PACARI (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101090] MOCHILA PACARI (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101089] MOCHILA PACARI (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101087] MOCHILA PACARI (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100119] BANDOLERA VICENTA (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100118] BANDOLERA VICENTA (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100485] CARTERA BAULITO (IGUANA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100489] CARTERA BAULITO (IGUANA, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100487] CARTERA BAULITO (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100243] BOLSO LIHUEN (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100246] BOLSO LIHUEN (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100248] BOLSO LIHUEN FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101301] PORTAFOLIO HUAPI (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101298] PORTAFOLIO HUAPI (BRIDGE, CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101297] PORTAFOLIO HUAPI (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100106] BANDOLERA VICENTA (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100259] BOLSO TUBO GRANDE (GAMUZA, AZUL/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100258] BOLSO TUBO GRANDE (GAMUZA, AZUL/CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101117] MOCHILA TOBIAS FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[101097] MOCHILA PIETRO (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101098] MOCHILA PIETRO (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101476] PORTAPASAPORTE WARA (IGUANA, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101475] PORTAPASAPORTE WARA (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100446] CARTERA AMARILLA SET SOBRE (CROCO, CANELA),""2025-12-08 19:52:14"",""0.0"""
"[101246] PHONEBAG TANIA (GAMUZA, CAFE),""2025-12-08 19:52:14"",""0.0"""
"[101150] MONEDERO GRACE (NAPADO, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101148] MONEDERO GRACE (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100230] BILLETERA PENY (NAPADO, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100008] BANDOLERA ANTONIETA (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101139] MONEDERO GRACE (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101724] TARJETERO HARRY (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100559] CARTERA LONDRES (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[103998] CARTERA LONDRES (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100560] CARTERA LONDRES (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101689] TARJETERO ARIES (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100225] BILLETERA PENY (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101072] MOCHILA MARCOS (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100208] BILLETERA MILO SIMPLE (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100207] BILLETERA MILO SIMPLE (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100743] CINTURON PANAMA (85, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100744] CINTURON PANAMA (90, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100745] CINTURON PANAMA (95, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100747] CINTURON PANAMA (105, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100748] CINTURON PANAMA (110, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100749] CINTURON PANAMA (115, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100750] CINTURON PANAMA (120, TOSTADO),""2025-12-08 19:52:14"",""0.0"""
"[100751] CINTURON PANAMA (85, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100755] CINTURON PANAMA (105, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100756] CINTURON PANAMA (110, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100758] CINTURON PANAMA (120, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100740] CINTURON PANAMA (110, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100741] CINTURON PANAMA (115, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100742] CINTURON PANAMA (120, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100433] CARTERA AMARILLA C/CIERRE (CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100565] CARTERA MINI APHOLO C/CIERRE (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100690] CINTURON GUS (110, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100691] CINTURON GUS (115, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100692] CINTURON GUS (120, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100687] CINTURON GUS (85, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100471] CARTERA APHOLO C/CIERRE (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100472] CARTERA APHOLO C/CIERRE (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100468] CARTERA APHOLO C/CIERRE (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100470] CARTERA APHOLO C/CIERRE (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101171] MORRAL BERLIN (CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101175] MORRAL CARLOS (CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[100558] CARTERA LONDRES (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100181] BILLETERA LIAM (NAPADO, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100183] BILLETERA LIAM (NAPADO, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[103155] BOLSO TUBO GRANDE (BRIDGE, GRIS OSCURO/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100260] BOLSO TUBO GRANDE (GAMUZA, CAFE/NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100555] CARTERA LISBOA (NAPADO, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100509] CARTERA DOS HEBILLAS NEW (GAMUZA, OLIVE/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100273] BOLSO URBANO (BRIDGE, CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[100245] BOLSO LIHUEN (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100564] CARTERA MINI APHOLO C/CIERRE (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101342] PORTALAPTOP ELOY (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101159] MORRAL ADI VINTAGE (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101352] PORTALAPTOP LES (BRIDGE, CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101357] PORTALAPTOP LES (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101386] PORTALENTES LUZ (BRIDGE, CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101790] TARJETERO RUBI (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[100262] BOLSO TUBO GRANDE (GAMUZA, OLIVE/CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100255] BOLSO TUBO GRANDE (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[100089] BANDOLERA NOE (NAPA LOLA SOFT, HAVANA),""2025-12-08 19:52:14"",""0.0"""
"[103179] BOLSO TUBO GRANDE (NAPADO, GRIS OSCURO/CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101302] PORTAFOLIO HUAPI (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101300] PORTAFOLIO HUAPI (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100111] BANDOLERA VICENTA (GAMUZA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100113] BANDOLERA VICENTA (GAMUZA, GRIS MEDIO),""2025-12-08 19:52:14"",""0.0"""
"[100114] BANDOLERA VICENTA (GAMUZA, GRIS OSCURO),""2025-12-08 19:52:14"",""0.0"""
"[100247] BOLSO LIHUEN (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101190] MORRAL OLDIE (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101093] MOCHILA PACARI (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101371] PORTALENTES COLBY (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101368] PORTALENTES COLBY (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101683] TAG SIMPLE (NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101685] TAG SIMPLE (TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101100] MOCHILA PIETRO (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101854] ZAPATILLA URBANA (40, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101855] ZAPATILLA URBANA (41, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101856] ZAPATILLA URBANA (42, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101857] ZAPATILLA URBANA (43, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101858] ZAPATILLA URBANA (44, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101861] ZAPATILLA URBANA (40, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101862] ZAPATILLA URBANA (41, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101863] ZAPATILLA URBANA (42, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101865] ZAPATILLA URBANA (44, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101070] MOCHILA LIBRA (NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101071] MOCHILA LIBRA (TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101069] MOCHILA LIBRA (MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101449] PORTAPASAPORTE CHESTER (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101694] TARJETERO ARIES (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101400] PORTALENTES LUZ (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101670] TAG AMAYA (VISON),""2025-12-08 19:52:14"",""0.0"""
"[101282] PORTACABLES (3) (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[103203] PORTACABLES (3) (VAQUETA, CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[103204] PORTACABLES (3) (VAQUETA, DULCE DE LECHE),""2025-12-08 19:52:14"",""0.0"""
"[101284] PORTACABLES (3) (VAQUETA, NATURAL),""2025-12-08 19:52:14"",""0.0"""
"[103206] PORTACABLES (3) (VAQUETA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[103205] PORTACABLES (3) (VAQUETA, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101079] MOCHILA MARCOS FULL BLACK (BRIDGE),""2025-12-08 19:52:14"",""0.0"""
"[101101] MOCHILA PIETRO FULL BLACK,""2025-12-08 19:52:14"",""0.0"""
"[100065] BANDOLERA NATY SIMPLE (GAMUZA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101272] PORTACABLES (2) (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101273] PORTACABLES (2) (MODENA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101373] PORTALENTES COLBY (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101372] PORTALENTES COLBY (IGUANA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101375] PORTALENTES COLBY (IGUANA, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101366] PORTALENTES COLBY (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101370] PORTALENTES COLBY (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101369] PORTALENTES COLBY (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101374] PORTALENTES COLBY (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101557] RIÑONERA CRUZ L (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101561] RIÑONERA CRUZ L (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101231] NECESSAIRE MINI MARCOS (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101347] PORTALAPTOP JOY (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101415] PORTALENTES MANU (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101416] PORTALENTES MANU (IGUANA, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[101408] PORTALENTES MANU (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101411] PORTALENTES MANU (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101287] PORTACINTO ELIAS (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101288] PORTACINTO ELIAS (MODENA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101289] PORTACINTO ELIAS (MODENA, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100728] CINTURON MIA (XS, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100734] CINTURON MIA (XS, VERDE),""2025-12-08 19:52:14"",""0.0"""
"[100211] BILLETERA MILO SIMPLE (SALLY, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101666] TAG AMAYA (CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101667] TAG AMAYA (NATURAL),""2025-12-08 19:52:14"",""0.0"""
"[101668] TAG AMAYA (NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101422] PORTALENTES ORION (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100057] BANDOLERA NATY (VERDE),""2025-12-08 19:52:14"",""0.0"""
"[101096] MOCHILA PIETRO (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100978] LLAVERO KAREN (AZUL/AVELLANA),""2025-12-08 19:52:14"",""0.0"""
"[100980] LLAVERO KAREN (AZUL/MARSALA),""2025-12-08 19:52:14"",""0.0"""
"[100985] LLAVERO KAREN (CARAMELO/CAFE),""2025-12-08 19:52:14"",""0.0"""
"[100986] LLAVERO KAREN (CARAMELO/MARSALA),""2025-12-08 19:52:14"",""0.0"""
"[100988] LLAVERO KAREN (CARAMELO/OLIVE),""2025-12-08 19:52:14"",""0.0"""
"[100990] LLAVERO KAREN (MALBEC/MARSALA),""2025-12-08 19:52:14"",""0.0"""
"[100993] LLAVERO KAREN (NEGRO/GRIS MEDIO),""2025-12-08 19:52:14"",""0.0"""
"[100996] LLAVERO KAREN (NEGRO/OXIDO),""2025-12-08 19:52:14"",""0.0"""
"[100997] LLAVERO KAREN (NEGRO/VESUBIO),""2025-12-08 19:52:14"",""0.0"""
"[100999] LLAVERO KAREN (TABACO/OLIVE),""2025-12-08 19:52:14"",""0.0"""
"[101784] TARJETERO RUBI (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101789] TARJETERO RUBI (DUNA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[103217] ZAPATILLA MATEO (42, BORGOÑA),""2025-12-08 19:52:14"",""0.0"""
"[101869] ZAPATILLA URBANA (41, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101870] ZAPATILLA URBANA (42, TABACO),""2025-12-08 19:52:14"",""0.0"""
"CARTERA LISBOA (GAMUZA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100542] CARTERA LISBOA (GAMUZA, OLIVE/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101634] SEÑALADOR (CHOCOLATE),""2025-12-08 19:52:14"",""0.0"""
"[101636] SEÑALADOR (SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100107] BANDOLERA VICENTA (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101120] MONEDERO AMBAR (NAPADO, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101121] MONEDERO AMBAR (NAPADO, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101123] MONEDERO AMBAR (NAPADO, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101119] MONEDERO AMBAR (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[101711] TARJETERO BILL (DUNA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100215] BILLETERA OSADIA (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100506] CARTERA DOS HEBILLAS NEW (GAMUZA, AZUL/TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101207] NECESSAIRE FELI (BRIDGE, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100184] BILLETERA LIAM (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[101217] NECESSAIRE LARA (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101218] NECESSAIRE LARA (BRIDGE, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[101219] NECESSAIRE LARA (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101220] NECESSAIRE LARA (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101221] NECESSAIRE LARA (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101222] NECESSAIRE LARA (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101223] NECESSAIRE LARA (IGUANA, ROJO),""2025-12-08 19:52:14"",""0.0"""
"[100473] CARTERA APHOLO C/CIERRE (FIORENTINO, CEDRO),""2025-12-08 19:52:14"",""0.0"""
"[101242] PHONEBAG TANIA (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101245] PHONEBAG TANIA (GAMUZA, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100096] BANDOLERA RUFINA (DUNA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100097] BANDOLERA RUFINA (NAPADO, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100099] BANDOLERA RUFINA (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100126] BILLETERA ADAM (BRIDGE, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[100128] BILLETERA ADAM (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100258] BOLSO TUBO GRANDE (GAMUZA, AZUL/CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101285] PORTACINTO ELIAS (BRIDGE, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[101286] PORTACINTO ELIAS (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[101641] SOBRE GEMINI (NAPADO, MALBEC),""2025-12-08 19:52:14"",""0.0"""
"[100129] BILLETERA ADAM (BRIDGE, TABACO),""2025-12-08 19:52:14"",""0.0"""
"[100131] BILLETERA ADAM (NAPADO, AZUL),""2025-12-08 19:52:14"",""0.0"""
"[100132] BILLETERA ADAM (NAPADO, NEGRO),""2025-12-08 19:52:14"",""0.0"""
"[100133] BILLETERA ADAM (NAPADO, SUELA),""2025-12-08 19:52:14"",""0.0"""
"[100530] CARTERA LEANDRA (NAPADO, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101129] MONEDERO CORY (IGUANA, CARAMELO),""2025-12-08 19:52:14"",""0.0"""
"[101130] MONEDERO CORY (IGUANA, NEGRO),""2025-12-08 19:52:14"",""0.0"""
